subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
O14640	Q92730	UNIPROT	UNIPROT	DVL1	RND1	up-regulates	SIGNOR	SIGNOR	23151663	protein	protein	0.273
P28482	Q9BZI1	UNIPROT	UNIPROT	MAPK1	IRX2	up-regulates activity	SIGNOR	SIGNOR	15133517	protein	protein	0.2
P38435	P07225	UNIPROT	UNIPROT	GGCX	PROS1	up-regulates activity	SIGNOR	SIGNOR	28125048	protein	protein	0.611
SIGNOR-C307	SIGNOR-PH96	SIGNOR	SIGNOR	26S Proteasome	Protein_degradation	up-regulates	SIGNOR	SIGNOR	29636472	complex	phenotype	0.7
Q8TE12	O14529	UNIPROT	UNIPROT	LMX1A	CUX2	up-regulates quantity by expression	SIGNOR	SIGNOR	30770393	protein	protein	0.285
P23443	P35568	UNIPROT	UNIPROT	RPS6KB1	IRS1	down-regulates quantity by destabilization	SIGNOR	SIGNOR	18498745	protein	protein	0.787
Q02930	P05412	UNIPROT	UNIPROT	CREB5	JUN	up-regulates activity	SIGNOR	SIGNOR	8378084	protein	protein	0.512
SIGNOR-C455	SIGNOR-PH29	SIGNOR	SIGNOR	80S_cytosolic_ribosome	Protein_synthesis	up-regulates	SIGNOR	SIGNOR	35489072	complex	phenotype	0.7
O14543	P35568	UNIPROT	UNIPROT	SOCS3	IRS1	down-regulates	SIGNOR	SIGNOR	23115649	protein	protein	0.739
P04637	SIGNOR-PH4	UNIPROT	SIGNOR	TP53	Proliferation	down-regulates	SIGNOR	SIGNOR	7667317	protein	phenotype	0.7
CHEBI:681569	P49643	ChEBI	UNIPROT	clofarabine	PRIM2	down-regulates activity	SIGNOR	SIGNOR	1707752	chemical	protein	0.8
P06213	P07550	UNIPROT	UNIPROT	INSR	ADRB2	down-regulates activity	SIGNOR	SIGNOR	8557631	protein	protein	0.378
P12814	SIGNOR-PH84	UNIPROT	SIGNOR	ACTN1	Actin_cytoskeleton_reorganization	up-regulates	SIGNOR	SIGNOR	17243894	protein	phenotype	0.7
P09919	P15509	UNIPROT	UNIPROT	CSF3	CSF2RA	up-regulates	SIGNOR	SIGNOR	10572088	protein	protein	0.465
P30550	P38405	UNIPROT	UNIPROT	GRPR	GNAL	up-regulates activity	SIGNOR	SIGNOR	31160049	protein	protein	0.25
P55040	O75116	UNIPROT	UNIPROT	GEM	ROCK2	down-regulates activity	SIGNOR	SIGNOR	16757346	protein	protein	0.29
P33992	SIGNOR-C268	UNIPROT	SIGNOR	MCM5	MCM	form complex	SIGNOR	SIGNOR	19946136	protein	complex	0.776
Q9Y5I2	Q9Y5H0	UNIPROT	UNIPROT	PCDHA10	PCDHGA3	up-regulates activity	SIGNOR	SIGNOR	16697637	protein	protein	0.2
P18146	O14684	UNIPROT	UNIPROT	EGR1	PTGES	up-regulates quantity by expression	SIGNOR	SIGNOR	21983014	protein	protein	0.335
O14920	Q92905	UNIPROT	UNIPROT	IKBKB	COPS5	down-regulates activity	SIGNOR	SIGNOR	31950832	protein	protein	0.331
P0C6X7-PRO_0000037317	P03901	UNIPROT	UNIPROT	Non-structural protein 10	MT-ND4L	down-regulates activity	SIGNOR	SIGNOR	16157265	protein	protein	0.2
P12931	Q68CZ2	UNIPROT	UNIPROT	SRC	TNS3	up-regulates	SIGNOR	SIGNOR	19732724	protein	protein	0.409
Q08881	P10747	UNIPROT	UNIPROT	ITK	CD28	up-regulates activity	SIGNOR	SIGNOR	8992971	protein	protein	0.689
Q07325	P49682	UNIPROT	UNIPROT	CXCL9	CXCR3	up-regulates activity	SIGNOR	SIGNOR	12750173	protein	protein	0.781
O60674	SIGNOR-C118	UNIPROT	SIGNOR	JAK2	STAT1/STAT3	up-regulates activity	SIGNOR	SIGNOR	15526160	protein	complex	0.811
SIGNOR-PF24	Q9Y261	SIGNOR	UNIPROT	AKT	FOXA2	down-regulates	SIGNOR	SIGNOR	14500912	proteinfamily	protein	0.2
SIGNOR-PF83	CHEBI:28774	SIGNOR	ChEBI	DIO	3,3',5'-triiodothyronine	up-regulates quantity	SIGNOR	SIGNOR	34674502	proteinfamily	smallmolecule	0.8
P06241	Q96PD2	UNIPROT	UNIPROT	FYN	DCBLD2	up-regulates activity	SIGNOR	SIGNOR	23770091	protein	protein	0.351
O14920	Q04206	UNIPROT	UNIPROT	IKBKB	RELA	up-regulates activity	SIGNOR	SIGNOR	16046471	protein	protein	0.886
P01023	P14780	UNIPROT	UNIPROT	A2M	MMP9	down-regulates activity	SIGNOR	SIGNOR	9344465	protein	protein	0.49
SIGNOR-C497	Q9UDY6	SIGNOR	UNIPROT	Ub:E2	TRIM10	up-regulates activity	SIGNOR	SIGNOR	34199813	complex	protein	0.2
CHEBI:45716	Q92769	ChEBI	UNIPROT	vorinostat	HDAC2	down-regulates activity	SIGNOR	SIGNOR	17868033	chemical	protein	0.8
P99999	SIGNOR-C230	UNIPROT	SIGNOR	CYCS	Apoptosome	form complex	SIGNOR	SIGNOR	10206961	protein	complex	0.835
CHEBI:63722	P00374	ChEBI	UNIPROT	pemetrexed disodium	DHFR	down-regulates activity	SIGNOR	SIGNOR	14596699	chemical	protein	0.8
Q15386	O75155	UNIPROT	UNIPROT	UBE3C	CAND2	down-regulates quantity by destabilization	SIGNOR	SIGNOR	12692129	protein	protein	0.391
